Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Town/City,Postcode,Country,Reference,Category
30/11/2023,DELIVEROO               LONDON,18.69,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233350048000010400086',Entertainment-Restaurants
30/11/2023,DELIVEROO               LONDON,29.40,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233350048000010400080',Entertainment-Restaurants
29/11/2023,AMZNMKTPLACE            AMAZON.CO.UK,75.06,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT233340052000010322872',General Purchases-Online Purchases
29/11/2023,DELIVEROO               LONDON,17.28,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233340052000010351261',Entertainment-Restaurants
29/11/2023,DELIVEROO               LONDON,17.28,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233340052000010351784',Entertainment-Restaurants
28/11/2023,DELIVEROO               LONDON,18.89,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233330051000010339119',Entertainment-Restaurants
27/11/2023,DELIVEROO               LONDON,39.47,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233320051000010344272',Entertainment-Restaurants
25/11/2023,APPLE.COM/BILL          HOLLYHILL,10.99,,APPLE.COM/BILL          HOLLYHILL,"SUBMISSIONS UK
8-10 MATHIAS HARDT
LUXEMBOURG",,L-0717,LUXEMBOURG,'AT233300076000010037144',General Purchases-Computer Supplies
25/11/2023,DELIVEROO               LONDON,25.81,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233300040000010392745',Entertainment-Restaurants
25/11/2023,DRUMSHEDS               London,7.00,,DRUMSHEDS               London,DOCKYARDS,LONDON,E16 1UR,UNITED KINGDOM OF GB AND NI,'AT233290044000010379429',Entertainment-Bars & Cafés
25/11/2023,DRUMSHEDS               London,20.00,,DRUMSHEDS               London,13 HEADLAND ROA,FISTRAL BAY,TR7,UNITED KINGDOM OF GB AND NI,'AT233290044000010379206',Entertainment-Bars & Cafés
25/11/2023,PADDLE.NET*GEOGUESSR 22 LONDON,3.49,,PADDLE.NET*GEOGUESSR 22 LONDON,70 WILSON STREET,LONDON,EC2A 2DB,UNITED KINGDOM OF GB AND NI,'AT233290078000010039916',General Purchases-Computer Supplies
25/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.80,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233300040000010377250',Travel-Other Travel
24/11/2023,THE FRAGRANCE SHOP      MANCHESTER,12.00,,THE FRAGRANCE SHOP      MANCHESTER,CHURCHILL POINT LAKE EDGE GREEN TRAFFORD PARK ROAD UNIT 6,MANCHESTER,M17 1BL,UNITED KINGDOM OF GB AND NI,'AT233280051000010383080',General Purchases-General Retail
23/11/2023,TESCO STORE 6490 6490TE LONDON,3.40,,TESCO STORE 6490 6490TE LONDON,HALE VILLAGE,LONDON,N17 9NE,UNITED KINGDOM OF GB AND NI,'AT233270086000010033198',General Purchases-Groceries
23/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.70,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233280051000010355698',Travel-Other Travel
23/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.45,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233280051000010357762',Travel-Other Travel
22/11/2023,M&S BISHOPS STORTFORD   GREATER LONDON,67.00,GOODS,M&S BISHOPS STORTFORD   GREATER LONDON,6 CITY NORTH PLACE,LONDON,N4 3FU,UNITED KINGDOM OF GB AND NI,'AT233270052000010306194',General Purchases-Department Stores
22/11/2023,MIDJOURNEY INC.         SOUTH SAN FRANC,9.87,Foreign Spend Amount: 12.00 UNITED STATES DOLLAR Commission Amount: 0.29 Currency Exchange Rate: 1.2526,MIDJOURNEY INC.         SOUTH SAN FRANC,"611 GTWY BLVD
SUITE 120",SOUTH SAN FRANCISCO,94080,UNITED STATES,'AT233270052000010285161',General Purchases-Computer Supplies
22/11/2023,TED'S GROOMING ROOM     LONDON,47.50,,TED'S GROOMING ROOM     LONDON,31 THEOBALDS ROAD,LONDON,WC1X 8SP,UNITED KINGDOM OF GB AND NI,'AT233270052000010347763',Miscellaneous-Other
22/11/2023,TEDS GROOMING ROOM      LONDON,22.50,,TEDS GROOMING ROOM      LONDON,33 GREAT QUEEN ST,LONDON,WC2B 5AA,UNITED KINGDOM OF GB AND NI,'AT233260088000010034416',Business Services-Other Services
22/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.30,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233270052000010295634',Travel-Other Travel
21/11/2023,APPLE.COM/BILL          HOLLYHILL,8.99,,APPLE.COM/BILL          HOLLYHILL,"SUBMISSIONS UK
8-10 MATHIAS HARDT
LUXEMBOURG",,L-0717,LUXEMBOURG,'AT233250085000010031124',General Purchases-Computer Supplies
21/11/2023,DELIVEROO               LONDON,15.58,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233260051000010271803',Entertainment-Restaurants
